Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Algeria,DZA,2723637620.4039,2434766866.27334,2001460838.78378,2703004009.92404,2909340114.7226,3136284385.14828,3039859268.24911,3370870461.13558,3852147112.84503,4257253358.44365,4863487557.2335,5077222330.06931,6761786483.71018,8715106128.63411,13209713770.0892,15557934472.8677,17728348385.244,20971901062.9845,26364491674.6159,33243421339.3774,42345276287.5934,44348670724.0831,45207090667.8674,48801372227.5528,53698280322.5824,57937867717.4636,63696299985.0409,66742269089.6987,59089065516.8692,55631488293.8976,62045098370.083,45715368143.9784,48003297248.8691,49946456681.2384,42542573602.1669,41764054034.6543,46941496308.2845,48177861890.8881,48187780126.1819,48640613515.0702,54790058957.3718,55180990395.7369,57053038888.2449,68018606041.3973,85013944727.955,102339100115.447,117169320524.244,135803556324.92,170989269622.037,140576526509.698,159425577393.596
American Samoa,ASM
Andorra,AND,,,,,,,,,,,78617570.3229253,89406659.5140116,113414331.870944,150841699.110766,186557164.008677,220112850.775998,227284165.925171,253998069.145235,308020384.39595,411548246.761169,446377494.880496,388983013.897495,375914742.918141,327849949.00321,330073024.937292,346742901.743383,481996232.885864,611300198.45912,721426027.475386,795489397.964069,1028989439.40715,1106890942.98847,1209992604.28817,1007090896.43735,1017544619.09316,1178745261.82826,1224023469.69136,1180646037.01274,1211953953.56155,1239840265.63345,1133644294.5425,1264760246.44075,1456198796.29382,1917948475.27512,2322163502.26295,2539759285.92747,2823503852.62328,3245411583.7197,3712034266.50674
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,6804278062.62664,6355849179.35458,7383121653.67413,7975234067.37627,9283054576.2006,10260193360.6806,12193746624.6789,5779394291.7582,5285600050.3455,4059577145.36303,5039534776.4902,7526446605.51712,7675412589.45525,6445192203.74553,6154480286.73835,9129180360.52186,8936023211.53323,11431738445.4161,13956268299.1078,19775218957.9962,30632364953.7518,45163239832.4302,60451594399.3951,84178512502.4322,75492890278.338,84390572976.7371
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,66144443.2762914,74855554.2335588,92240739.1117105,110066664.722819,124462954.838942,137951855.34146,153270373.589444,173511108.046794,201862965.32386,245896291.953611,286474069.01476,338696290.314704,373403703.035082,391570363.454988,410388899.418937,423762955.479039,456537023.048376,500088880.057001,494185188.309412,541074082.296139,579851829.759447,620037014.234937,651851840.339733,664174062.344337,696251839.555601,713533320.73188,753107394.107051,815396281.895878,866818503.209952,1010881463.62867,1155366646.26216,1203314814.81481,1097688888.88889,1014981481.48148
Argentina,ARG,,,,,,28344705967.5815,28630474726.3366,24256667554.62,26436857248.0056,31256284544.7361,31584210364.5523,33293199094.6727,34733000536.4685,52544000117.2532,72436777341.9953,52438647921.8723,51169499890.7757,56781000100.9442,58082870156.265,69252328953.3803,76961923741.9468,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.197,126206817196.091,76636898036.4712,141352368714.691,189719989668.103,228779382768.152,236753563469.872,257439956992,258031878144,272149757952,292858888192,298948362240,283523022848,284203745280,268696715264,102040334258.58,129597103033.807,153129481873.143,183193408940.742,214066231199.562,260768703249.434,326676673164.783,307081774895.424,368711957357.531
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.42714,2068526521.90299,1272577521.7683,1201313196.45626,1315158670.47971,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900436758.50466,6384457744.44765,9206277478.95229,11662017844.8868,8541111814.57829,9264794733.1799
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872067021.913829,958659238.282076,1083240282.27456,1245810153.89127,1320670419.17181,1379888369.03561,1531843679.53254,1665363128.18454,1722905064.60485,1858659293.19269,1898882757.736,1911173189.28251
Australia,AUS,,,,,,26130585731.8849,27465561653.0407,30603651024.7508,32905140553.2534,36892149176.8395,41571284578.3402,45487736588.6437,52358644859.8131,64224215246.6368,89473839351.5107,97839683189.9495,105687633934.199,110886671254.875,119077374238.665,135582187890.492,150783286908.078,177999535585.742,195113097208.43,178190921853.065,194579786270.603,181694408222.751,183372971460.548,190433430386.448,238717258440.047,301853269277.746,314518661023.47,329965465819.01,328991771129.739,315553681843.732,326529920442.753,371090733590.734,403660849772.382,437674127406.48,401216848673.947,390208672766.011,416923318470.138,380427712783.085,397239430724.152,468468841001.747,615275999430.929,696033679145.993,749316412099.431,856816361780.639,1039415095376.83,924843128520.741
Austria,AUT,6592693841.18495,7311749633.36229,7756110210.11966,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15261259809.4734,17728673080.7358,21899261664.3848,29300920837.7258,34933509938.1625,39768017476.4952,42647701158.2419,51144915494.1304,61554742727.1866,73407497683.9938,81467464369.2831,70500215137.3769,70682448979.5918,71496768040.4474,67403442679.3205,68781084729.9814,98203625056.3317,123083469743.143,132154359745.904,131914518980.759,164846797773.206,172166366529.169,193096520160.28,188288650183.367,201192480424.045,238314109458.168,234143004938.913,206878199346.037,212150714762.117,210929628169.614,191200302192.74,190155281431.767,205954943534.726,252034237020.316,289038861882.5,302921137392.429,322340100433.926,372291309786.789,414670756948.768,381083737703.916,376162107600
